campaign_id,campaign_name,campaign_type,channel_id,start_date,end_date,budget,objective
CAMP0061,Orchestrate Collaborative Models,Promotional,CHN009,2025-07-27,2026-04-01,10302.61,Engagement
CAMP0062,Iterate Virtual Systems,Promotional,CHN003,2025-09-12,2026-04-01,10610.52,Acquisition
CAMP0063,Generate Dynamic Eyeballs,Promotional,CHN003,2025-06-11,2026-04-01,22225.36,Brand Awareness
CAMP0064,Synergize Web-Enabled Action-Items,Promotional,CHN006,2025-05-13,2026-04-01,25102.75,Acquisition
CAMP0065,Enable Turn-Key Niches,Awareness,CHN001,2026-02-11,2026-04-01,8492.69,Acquisition
CAMP0066,Orchestrate Next-Generation E-Tailers,Loyalty,CHN004,2025-05-17,2026-04-01,14205.24,Engagement
CAMP0067,Harness Holistic Portals,Discount,CHN007,2025-04-23,2026-04-01,44257.67,Acquisition
CAMP0068,Morph Cutting-Edge Eyeballs,Discount,CHN003,2025-09-21,2026-04-01,29419.02,Retention
CAMP0069,Matrix Front-End Web-Readiness,Loyalty,CHN009,2025-11-20,2026-04-01,14209.39,Retention
CAMP0070,Repurpose Magnetic E-Services,Discount,CHN005,2025-06-20,2026-04-01,4085.39,Brand Awareness
CAMP0071,Target B2B Initiatives,Loyalty,CHN001,2026-03-14,2026-04-01,42538.11,Acquisition
CAMP0072,Facilitate Open-Source Vortals,Promotional,CHN005,2025-09-18,2026-04-01,5589.42,Engagement
CAMP0073,Incentivize Mission-Critical Applications,Promotional,CHN008,2026-03-15,2026-04-01,25668.85,Retention
CAMP0074,Deploy Extensible E-Tailers,Awareness,CHN003,2026-03-09,2026-04-01,25656.0,Acquisition
CAMP0075,Extend Vertical Metrics,Promotional,CHN010,2025-08-17,2026-04-01,10713.89,Brand Awareness
CAMP0076,Generate Robust Supply-Chains,Loyalty,CHN004,2025-11-19,2026-04-01,10991.48,Brand Awareness
CAMP0077,Engineer Viral Infrastructures,Discount,CHN002,2026-03-22,2026-04-01,24105.43,Acquisition
CAMP0078,Morph Out-Of-The-Box Architectures,Discount,CHN009,2025-11-08,2026-04-01,26837.88,Engagement
CAMP0079,Incubate Back-End E-Business,Awareness,CHN004,2026-03-16,2026-04-01,30724.08,Engagement
CAMP0080,Redefine Scalable Vortals,Promotional,CHN007,2026-02-10,2026-04-01,18543.98,Engagement
CAMP0081,Optimize Integrated Platforms,Awareness,CHN008,2025-12-25,2026-04-01,1819.69,Engagement
CAMP0082,Iterate Dot-Com Users,Awareness,CHN008,2026-03-03,2026-04-01,40233.28,Acquisition
CAMP0083,Repurpose Front-End Vortals,Awareness,CHN005,2025-09-09,2026-04-01,19531.07,Engagement
CAMP0084,Utilize Vertical Systems,Loyalty,CHN010,2025-04-26,2026-04-01,44940.95,Acquisition
CAMP0085,Synergize Collaborative Deliverables,Promotional,CHN002,2025-04-03,2026-04-01,35826.17,Engagement
CAMP0086,Architect Clicks-And-Mortar Schemas,Awareness,CHN006,2025-08-13,2026-04-01,6254.8,Acquisition
CAMP0087,Empower Cross-Platform Paradigms,Awareness,CHN010,2025-04-29,2026-04-01,18319.73,Brand Awareness
CAMP0088,E-Enable Extensible E-Commerce,Loyalty,CHN010,2025-05-08,2026-04-01,6180.22,Retention
CAMP0089,Enable 24/365 Content,Discount,CHN007,2026-02-07,2026-04-01,28091.04,Engagement
CAMP0090,Enhance Rich Networks,Awareness,CHN001,2026-01-16,2026-04-01,40176.44,Brand Awareness
CAMP0091,Exploit Holistic Interfaces,Awareness,CHN009,2026-02-17,2026-04-01,18306.04,Acquisition
CAMP0092,Generate Web-Enabled Vortals,Awareness,CHN004,2026-01-07,2026-04-01,2807.64,Engagement
CAMP0093,Reinvent Clicks-And-Mortar Functionalities,Awareness,CHN007,2025-05-20,2026-04-01,13980.86,Retention
CAMP0094,Syndicate Bricks-And-Clicks E-Business,Loyalty,CHN006,2025-08-09,2026-04-01,14875.27,Engagement
CAMP0095,Revolutionize Dot-Com Action-Items,Awareness,CHN005,2026-03-17,2026-04-01,38132.02,Acquisition
CAMP0096,Optimize Wireless Communities,Promotional,CHN005,2025-11-24,2026-04-01,25196.45,Engagement
CAMP0097,Scale Viral Users,Awareness,CHN007,2025-06-26,2026-04-01,8705.71,Acquisition
CAMP0098,Enhance Back-End Info-Mediaries,Awareness,CHN008,2025-10-18,2026-04-01,8000.47,Engagement
CAMP0099,Expedite Bleeding-Edge Networks,Discount,CHN002,2026-02-10,2026-04-01,26257.08,Acquisition
CAMP0100,Morph Dynamic Markets,Awareness,CHN005,2026-01-10,2026-04-01,45614.94,Engagement
CAMP0101,Re-Contextualize E-Business Relationships,Discount,CHN003,2025-08-28,2026-04-01,36786.52,Brand Awareness
CAMP0102,Enhance Integrated Relationships,Awareness,CHN001,2025-09-25,2026-04-01,23282.56,Acquisition
CAMP0103,Synergize Clicks-And-Mortar Partnerships,Loyalty,CHN007,2025-05-23,2026-04-01,38541.56,Retention
CAMP0104,Syndicate Rich Convergence,Awareness,CHN010,2025-10-26,2026-04-01,12384.1,Retention
CAMP0105,Syndicate Best-Of-Breed Architectures,Loyalty,CHN008,2026-03-10,2026-04-01,41319.05,Engagement
CAMP0106,Re-Contextualize Viral Schemas,Awareness,CHN006,2025-10-04,2026-04-01,29779.17,Retention
CAMP0107,Scale Sticky Communities,Promotional,CHN005,2026-01-27,2026-04-01,46503.93,Brand Awareness
CAMP0108,Synergize Cross-Media Content,Promotional,CHN002,2025-04-17,2026-04-01,19882.07,Engagement
CAMP0109,Syndicate Ubiquitous Experiences,Loyalty,CHN004,2026-01-15,2026-04-01,40839.53,Brand Awareness
CAMP0110,Strategize Front-End Communities,Promotional,CHN010,2025-05-25,2026-04-01,12890.41,Acquisition
CAMP0111,Reinvent Innovative Relationships,Awareness,CHN002,2025-11-27,2026-04-01,8327.61,Engagement
CAMP0112,Mesh Next-Generation Markets,Loyalty,CHN002,2025-09-20,2026-04-01,42847.35,Brand Awareness
CAMP0113,Mesh Rich Methodologies,Promotional,CHN004,2026-02-12,2026-04-01,45445.63,Brand Awareness
CAMP0114,Unleash Best-Of-Breed Web Services,Loyalty,CHN008,2025-08-16,2026-04-01,8926.76,Acquisition
CAMP0115,Transition Scalable Platforms,Awareness,CHN010,2025-09-05,2026-04-01,8946.86,Acquisition
CAMP0116,Drive Scalable Technologies,Promotional,CHN003,2025-11-21,2026-04-01,6213.29,Retention
CAMP0117,Integrate Seamless E-Services,Promotional,CHN008,2025-05-15,2026-04-01,16656.06,Acquisition
CAMP0118,Productize Robust Systems,Loyalty,CHN004,2025-11-07,2026-04-01,34519.17,Acquisition
CAMP0119,Morph Magnetic Applications,Discount,CHN010,2025-08-30,2026-04-01,26303.6,Brand Awareness
CAMP0120,E-Enable Vertical Content,Discount,CHN008,2025-08-19,2026-04-01,12816.2,Retention
CAMP0121,Enable Next-Generation Schemas,Discount,CHN003,2025-12-05,2026-04-01,26236.6,Retention
CAMP0122,Re-Contextualize Value-Added Channels,Loyalty,CHN005,2025-08-07,2026-04-01,15787.81,Brand Awareness
CAMP0123,Revolutionize Integrated Partnerships,Awareness,CHN005,2026-03-02,2026-04-01,43278.53,Engagement
CAMP0124,Generate B2C Networks,Discount,CHN008,2025-12-06,2026-04-01,40189.84,Brand Awareness
CAMP0125,Deliver Virtual Eyeballs,Loyalty,CHN009,2025-04-08,2026-04-01,45019.25,Brand Awareness
CAMP0126,Strategize Compelling Portals,Awareness,CHN009,2026-03-31,2026-04-01,8714.64,Brand Awareness
CAMP0127,Expedite End-To-End Initiatives,Loyalty,CHN003,2025-06-22,2026-04-01,9060.56,Brand Awareness
CAMP0128,Embrace Web-Enabled Bandwidth,Awareness,CHN007,2026-01-14,2026-04-01,21114.73,Engagement
CAMP0129,Leverage Leading-Edge Eyeballs,Discount,CHN001,2025-06-02,2026-04-01,13564.04,Brand Awareness
CAMP0130,Evolve Web-Enabled Networks,Loyalty,CHN008,2025-08-23,2026-04-01,4094.46,Retention
CAMP0131,Utilize Mission-Critical E-Commerce,Loyalty,CHN004,2025-07-07,2026-04-01,26394.65,Brand Awareness
CAMP0132,Deliver 24/365 Deliverables,Promotional,CHN007,2025-09-18,2026-04-01,4914.95,Engagement
CAMP0133,Matrix B2B Eyeballs,Loyalty,CHN006,2026-02-26,2026-04-01,46248.37,Retention
CAMP0134,Scale Synergistic E-Business,Discount,CHN009,2025-06-15,2026-04-01,14981.66,Brand Awareness
CAMP0135,Transition Seamless Eyeballs,Awareness,CHN003,2025-07-31,2026-04-01,22972.35,Engagement
CAMP0136,Disintermediate World-Class Experiences,Promotional,CHN001,2026-02-12,2026-04-01,40412.32,Retention
CAMP0137,Monetize One-To-One Relationships,Discount,CHN010,2025-07-12,2026-04-01,32147.13,Brand Awareness
CAMP0138,Scale Cutting-Edge Markets,Awareness,CHN001,2025-06-11,2026-04-01,25445.5,Retention
CAMP0139,Generate Dot-Com Eyeballs,Discount,CHN008,2025-10-18,2026-04-01,39400.62,Engagement
CAMP0140,Synthesize Seamless Partnerships,Awareness,CHN007,2026-01-04,2026-04-01,4643.57,Retention
CAMP0141,Target Vertical Relationships,Awareness,CHN004,2025-05-21,2026-04-01,25122.85,Retention
CAMP0142,Visualize Rich Action-Items,Promotional,CHN009,2026-03-13,2026-04-01,10126.62,Acquisition
CAMP0143,Mesh Strategic Bandwidth,Awareness,CHN010,2025-07-13,2026-04-01,38732.14,Engagement
CAMP0144,Grow Magnetic Vortals,Discount,CHN002,2025-08-28,2026-04-01,49269.39,Engagement
CAMP0145,Re-Contextualize Granular Networks,Awareness,CHN006,2025-08-08,2026-04-01,47528.28,Brand Awareness
CAMP0146,Repurpose 24/7 Methodologies,Discount,CHN004,2025-04-01,2026-04-01,30720.43,Brand Awareness
CAMP0147,Morph World-Class Solutions,Promotional,CHN001,2026-02-13,2026-04-01,40429.9,Brand Awareness
CAMP0148,Facilitate Dynamic Supply-Chains,Promotional,CHN009,2025-08-20,2026-04-01,40899.29,Brand Awareness
CAMP0149,Re-Contextualize Bricks-And-Clicks Niches,Awareness,CHN008,2025-06-25,2026-04-01,41017.0,Acquisition
CAMP0150,Generate Web-Enabled E-Markets,Promotional,CHN006,2025-10-08,2026-04-01,40539.26,Brand Awareness
CAMP0151,Maximize Distributed Markets,Promotional,CHN010,2025-12-24,2026-04-01,10996.04,Retention
CAMP0152,Drive 24/365 Convergence,Promotional,CHN010,2026-02-13,2026-04-01,20512.36,Brand Awareness
CAMP0153,Engineer End-To-End E-Tailers,Discount,CHN003,2026-01-09,2026-04-01,39651.86,Engagement
CAMP0154,Re-Contextualize Innovative Networks,Promotional,CHN002,2025-10-20,2026-04-01,18964.13,Brand Awareness
CAMP0155,Brand Impactful E-Services,Awareness,CHN006,2025-04-23,2026-04-01,2521.73,Brand Awareness
CAMP0156,Transition Innovative Deliverables,Awareness,CHN001,2025-07-23,2026-04-01,36690.75,Engagement
CAMP0157,Enhance Best-Of-Breed Bandwidth,Loyalty,CHN007,2026-03-28,2026-04-01,11446.27,Brand Awareness
CAMP0158,Deliver Turn-Key Portals,Promotional,CHN010,2025-05-19,2026-04-01,8056.51,Brand Awareness
CAMP0159,Transition Integrated Architectures,Discount,CHN008,2025-07-23,2026-04-01,29452.96,Retention
CAMP0160,Enhance User-Centric Users,Discount,CHN002,2026-02-17,2026-04-01,15265.97,Brand Awareness
CAMP0161,Whiteboard Sticky Channels,Awareness,CHN009,2026-01-13,2026-04-01,15662.33,Acquisition
CAMP0162,Optimize Dynamic Initiatives,Awareness,CHN004,2025-09-03,2026-04-01,18936.05,Brand Awareness
CAMP0163,Seize Holistic Synergies,Awareness,CHN007,2025-06-16,2026-04-01,32657.22,Engagement
CAMP0164,Harness Value-Added Vortals,Awareness,CHN005,2025-05-24,2026-04-01,22421.71,Retention
CAMP0165,Architect Plug-And-Play E-Commerce,Discount,CHN007,2026-02-21,2026-04-01,46219.47,Engagement
CAMP0166,Generate Cross-Media Relationships,Promotional,CHN005,2025-06-03,2026-04-01,31110.21,Retention
CAMP0167,Innovate Integrated Partnerships,Loyalty,CHN002,2025-05-28,2026-04-01,3536.87,Brand Awareness
CAMP0168,Reinvent 24/365 Action-Items,Promotional,CHN002,2026-02-17,2026-04-01,22873.84,Acquisition
CAMP0169,Seize Collaborative Content,Promotional,CHN010,2025-08-07,2026-04-01,26404.79,Engagement
CAMP0170,Engage Magnetic Technologies,Awareness,CHN002,2025-07-11,2026-04-01,49686.39,Brand Awareness
CAMP0171,Scale Vertical Partnerships,Discount,CHN001,2025-09-04,2026-04-01,6966.95,Retention
CAMP0172,Cultivate One-To-One Niches,Discount,CHN001,2025-12-03,2026-04-01,20589.33,Acquisition
CAMP0173,Leverage Turn-Key Experiences,Awareness,CHN006,2025-09-10,2026-04-01,16532.05,Brand Awareness
CAMP0174,Integrate Dynamic Partnerships,Awareness,CHN003,2025-04-18,2026-04-01,18069.56,Brand Awareness
CAMP0175,Deploy Front-End Content,Loyalty,CHN004,2025-12-03,2026-04-01,27952.27,Acquisition
CAMP0176,Iterate Transparent Schemas,Awareness,CHN002,2026-02-03,2026-04-01,42884.97,Acquisition
CAMP0177,Synergize Distributed Interfaces,Discount,CHN002,2025-05-03,2026-04-01,10189.96,Engagement
CAMP0178,Engineer Robust E-Tailers,Loyalty,CHN003,2025-12-08,2026-04-01,38375.53,Retention
CAMP0179,Brand Intuitive Action-Items,Loyalty,CHN010,2025-08-17,2026-04-01,29789.54,Retention
CAMP0180,Incubate Proactive E-Tailers,Discount,CHN001,2025-08-27,2026-04-01,44063.33,Retention
CAMP0181,Incentivize Cross-Platform Mindshare,Awareness,CHN009,2025-04-17,2026-04-01,33390.19,Brand Awareness
CAMP0182,Engineer Proactive Channels,Discount,CHN006,2026-01-24,2026-04-01,33699.01,Retention
CAMP0183,Aggregate Clicks-And-Mortar Metrics,Awareness,CHN007,2026-01-28,2026-04-01,13248.9,Acquisition
CAMP0184,Envisioneer Proactive Architectures,Discount,CHN006,2025-06-13,2026-04-01,48453.41,Brand Awareness
CAMP0185,Whiteboard Distributed Deliverables,Discount,CHN010,2025-07-16,2026-04-01,1371.56,Retention
CAMP0186,Synergize Extensible Experiences,Loyalty,CHN002,2026-01-21,2026-04-01,41735.74,Brand Awareness
CAMP0187,Empower Efficient Solutions,Loyalty,CHN003,2025-05-21,2026-04-01,46154.03,Acquisition
CAMP0188,Incentivize Customized Solutions,Discount,CHN007,2025-10-24,2026-04-01,9979.07,Acquisition
CAMP0189,Optimize Dot-Com Metrics,Loyalty,CHN001,2025-10-12,2026-04-01,34144.81,Brand Awareness
CAMP0190,Monetize Robust Models,Promotional,CHN001,2025-12-07,2026-04-01,24087.33,Retention
CAMP0191,Brand Turn-Key Niches,Discount,CHN004,2025-05-19,2026-04-01,24396.15,Engagement
CAMP0192,E-Enable Plug-And-Play Web Services,Discount,CHN007,2025-04-27,2026-04-01,13066.76,Brand Awareness
CAMP0193,Grow Sticky Methodologies,Promotional,CHN006,2025-06-21,2026-04-01,16351.04,Brand Awareness
CAMP0194,Empower Out-Of-The-Box Functionalities,Discount,CHN003,2026-02-06,2026-04-01,48199.4,Brand Awareness
CAMP0195,Matrix Turn-Key Supply-Chains,Awareness,CHN010,2025-05-13,2026-04-01,6359.09,Brand Awareness
CAMP0196,Unleash Bricks-And-Clicks E-Tailers,Loyalty,CHN010,2025-04-02,2026-04-01,7987.57,Brand Awareness
CAMP0197,Deploy Holistic Technologies,Loyalty,CHN005,2025-04-13,2026-04-01,41067.12,Acquisition
CAMP0198,Repurpose Innovative Applications,Discount,CHN007,2025-11-20,2026-04-01,48191.11,Acquisition
CAMP0199,Visualize User-Centric Content,Awareness,CHN008,2025-04-06,2026-04-01,24259.29,Brand Awareness
CAMP0200,Leverage Value-Added Architectures,Awareness,CHN002,2025-06-10,2026-04-01,49672.32,Retention
CAMP0201,Streamline Compelling Eyeballs,Discount,CHN008,2026-01-31,2026-04-01,46023.0,Brand Awareness
CAMP0202,Utilize Strategic Web Services,Awareness,CHN003,2025-11-26,2026-04-01,21284.74,Brand Awareness
