product_id,product_name,brand,category,sub_category,list_price
PROD000035,Momentum 4 Wireless,Sennheiser,Electronics,Headphones,26990
PROD000036,Tune 770NC,JBL,Electronics,Headphones,9999
PROD000037,Freebuds Pro 3,Huawei,Electronics,Headphones,14999
PROD000038,Soundcore Q45,Anker,Electronics,Headphones,4999
PROD000039,Beats Studio Pro,Beats,Electronics,Headphones,27990
PROD000040,Jabra Evolve2 55,Jabra,Electronics,Headphones,21999
PROD000041,Apple Watch Series 9,Apple,Electronics,Smartwatch,41900
PROD000042,Galaxy Watch 6 Classic,Samsung,Electronics,Smartwatch,36999
PROD000043,Pixel Watch 2,Google,Electronics,Smartwatch,34999
PROD000044,Fenix 7 Pro,Garmin,Electronics,Smartwatch,89999
PROD000045,Amazfit GTR 4,Amazfit,Electronics,Smartwatch,14999
PROD000046,Fitbit Sense 2,Fitbit,Electronics,Smartwatch,19999
PROD000047,Noise ColorFit Ultra 3,Noise,Electronics,Smartwatch,3999
PROD000048,boAt Enigma X600,boAt,Electronics,Smartwatch,4499
PROD000049,Fossil Gen 6,Fossil,Electronics,Smartwatch,22995
PROD000050,Fire-Boltt Phoenix Ultra,Fire-Boltt,Electronics,Smartwatch,4499
PROD000051,"OLED C3 65""",LG,Electronics,TV,189990
PROD000052,"QN90C Neo QLED 55""",Samsung,Electronics,TV,159990
PROD000053,"Bravia XR A80L 55""",Sony,Electronics,TV,149990
PROD000054,"P735 4K QLED 55""",TCL,Electronics,TV,54990
PROD000055,"Fire TV Omni QLED 65""",Amazon,Electronics,TV,89999
PROD000056,iFFALCON 55K72 4K,iFFALCON,Electronics,TV,39999
PROD000057,43 inch 4K Smart TV,Xiaomi,Electronics,TV,32999
PROD000058,VU 65 Masterpiece QLED,VU,Electronics,TV,89999
PROD000059,65 inch 4K OLED evo,Panasonic,Electronics,TV,179990
PROD000060,"Hisense U8K Mini-LED 65""",Hisense,Electronics,TV,119990
PROD000061,"iPad Pro M2 11""",Apple,Electronics,Tablets,89900
PROD000062,Galaxy Tab S9 Ultra,Samsung,Electronics,Tablets,108999
PROD000063,Pixel Tablet,Google,Electronics,Tablets,57999
PROD000064,Lenovo Tab P12 Pro,Lenovo,Electronics,Tablets,54990
PROD000065,Xiaomi Pad 6,Xiaomi,Electronics,Tablets,28999
PROD000066,Realme Pad 2,Realme,Electronics,Tablets,19999
PROD000067,Fire HD 10 Plus,Amazon,Electronics,Tablets,14999
PROD000068,OnePlus Pad Go,OnePlus,Electronics,Tablets,19999
PROD000069,Huawei MatePad Pro 11,Huawei,Electronics,Tablets,54999
PROD000070,Nokia T21 Tablet,Nokia,Electronics,Tablets,17999
PROD000071,Soundbar HW-Q990C,Samsung,Electronics,Speakers,79990
PROD000072,HomePod 2nd Gen,Apple,Electronics,Speakers,32900
PROD000073,Charge 5 Portable,JBL,Electronics,Speakers,14999
PROD000074,SoundLink Max,Bose,Electronics,Speakers,29900
PROD000075,Echo Studio,Amazon,Electronics,Speakers,21999
PROD000076,Wonderboom 3,Ultimate Ears,Electronics,Speakers,9999
PROD000077,Soundcore Motion X600,Anker,Electronics,Speakers,9999
PROD000078,Marshall Stanmore III,Marshall,Electronics,Speakers,34990
PROD000079,Harman Kardon Onyx Studio 8,Harman Kardon,Electronics,Speakers,24999
PROD000080,boAt Aavante Bar 2200D,boAt,Electronics,Speakers,7999
PROD000081,MX Master 3S Mouse,Logitech,Electronics,Computer Accessories,9995
PROD000082,Magic Keyboard,Apple,Electronics,Computer Accessories,10900
PROD000083,DeathAdder V3 Mouse,Razer,Electronics,Computer Accessories,8499
PROD000084,Keychron K2 Keyboard,Keychron,Electronics,Computer Accessories,7999
PROD000085,"27"" UltraSharp Monitor",Dell,Electronics,Computer Accessories,49990
PROD000086,HDMI 2.1 Cable 2m,Belkin,Electronics,Computer Accessories,1999
PROD000087,USB-C Hub 7-in-1,Anker,Electronics,Computer Accessories,3499
PROD000088,Arc Mouse Bluetooth,Microsoft,Electronics,Computer Accessories,3999
PROD000089,Thunderbolt 4 Dock,CalDigit,Electronics,Computer Accessories,19999
PROD000090,Webcam C920 HD Pro,Logitech,Electronics,Computer Accessories,7499
PROD000091,PlayStation 5 Disc Edition,Sony,Electronics,Gaming Consoles,54990
PROD000092,Xbox Series X,Microsoft,Electronics,Gaming Consoles,54990
PROD000093,Nintendo Switch OLED,Nintendo,Electronics,Gaming Consoles,32490
PROD000094,Xbox Series S,Microsoft,Electronics,Gaming Consoles,32990
PROD000095,PlayStation 5 Digital Edition,Sony,Electronics,Gaming Consoles,44990
PROD000096,Steam Deck OLED 512GB,Valve,Electronics,Gaming Consoles,69999
PROD000097,Nintendo Switch Lite,Nintendo,Electronics,Gaming Consoles,19490
PROD000098,Atari VCS 800,Atari,Electronics,Gaming Consoles,24999
PROD000099,Evercade EXP Handheld,Blaze Entertainment,Electronics,Gaming Consoles,8999
PROD000100,Analogue Pocket,Analogue,Electronics,Gaming Consoles,22999
PROD000101,Slim Fit Chinos,Levi's,Clothing,Men,2499
PROD000102,Classic Oxford Shirt,Allen Solly,Clothing,Men,1799
PROD000103,Regular Fit Jeans 511,Levi's,Clothing,Men,2999
PROD000104,Polo Collar T-Shirt,Lacoste,Clothing,Men,3990
PROD000105,Blazer Slim Fit,Raymond,Clothing,Men,8999
PROD000106,Formal Trousers,Van Heusen,Clothing,Men,1999
PROD000107,Graphic Tee Round Neck,H&M,Clothing,Men,799
PROD000108,Track Pants Dri-FIT,Nike,Clothing,Men,2495
PROD000109,Bomber Jacket,Jack & Jones,Clothing,Men,3999
PROD000110,Linen Kurta,Manyavar,Clothing,Men,2499
PROD000111,Floral Midi Dress,Zara,Clothing,Women,3990
PROD000112,High-Rise Skinny Jeans,Levi's,Clothing,Women,3499
PROD000113,Saree Silk Blend,Taneira,Clothing,Women,4999
PROD000114,Kurti Cotton Anarkali,Biba,Clothing,Women,1799
PROD000115,Leggings Active Wear,Puma,Clothing,Women,1799
PROD000116,Blazer Cropped Fit,AND,Clothing,Women,3499
PROD000117,Satin Wrap Top,Vero Moda,Clothing,Women,1599
PROD000118,Denim Jacket Oversize,H&M,Clothing,Women,2999
PROD000119,Palazzo Pants,W for Woman,Clothing,Women,1499
PROD000120,Crop Top Ribbed,Forever 21,Clothing,Women,999
PROD000121,Dungaree Denim Set,H&M,Clothing,Kids,1299
PROD000122,Cotton T-Shirt Pack of 3,Mothercare,Clothing,Kids,899
PROD000123,Jogger Set,Nike,Clothing,Kids,2495
PROD000124,Frock Floral Print,Hopscotch,Clothing,Kids,999
PROD000125,School Uniform Shirt,Numero Uno,Clothing,Kids,549
PROD000126,Ethnic Kurta Pajama Set,Manyavar Kids,Clothing,Kids,1299
PROD000127,Cartoon Printed Shorts,Gini & Jony,Clothing,Kids,699
PROD000128,Winter Jacket Padded,Mothercare,Clothing,Kids,1999
PROD000129,Swimming Costume,Speedo,Clothing,Kids,1299
PROD000130,Raincoat with Hood,Columbia,Clothing,Kids,1799
PROD000131,Air Max 270 Sneakers,Nike,Clothing,Footwear,12995
PROD000132,Stan Smith Sneakers,Adidas,Clothing,Footwear,8999
PROD000133,Chelsea Boots Leather,Clarks,Clothing,Footwear,9999
PROD000134,Floaters Outdoor,Woodland,Clothing,Footwear,3499
PROD000135,Ballet Flats,Bata,Clothing,Footwear,1499
PROD000136,Loafers Slip-On,Hush Puppies,Clothing,Footwear,3999
PROD000137,Kolhapuri Sandals,Metro,Clothing,Footwear,1799
PROD000138,High Heels Block,Steve Madden,Clothing,Footwear,4999
PROD000139,Formal Oxford Shoes,Lee Cooper,Clothing,Footwear,2999
PROD000140,Running Shoes Gel,ASICS,Clothing,Footwear,7999
PROD000141,Woollen Muffler,Peter England,Clothing,Accessories,599
PROD000142,Leather Belt,Tommy Hilfiger,Clothing,Accessories,2499
PROD000143,Silk Pocket Square Set,Raymond,Clothing,Accessories,699
PROD000144,Aviator Sunglasses,Ray-Ban,Clothing,Accessories,6990
PROD000145,Fedora Hat,Van Heusen,Clothing,Accessories,999
PROD000146,Knitted Beanie,H&M,Clothing,Accessories,599
PROD000147,Stole Georgette,Biba,Clothing,Accessories,799
PROD000148,Sports Socks Pack of 6,Adidas,Clothing,Accessories,999
PROD000149,Suspenders Elastic,Alvaro Castagnino,Clothing,Accessories,499
PROD000150,Bow Tie Set,BUBBER COUTURE,Clothing,Accessories,699
PROD000151,Sherwani Embroidered,Manyavar,Clothing,Ethnic Wear,14999
PROD000152,Banarasi Silk Saree,Taneira,Clothing,Ethnic Wear,7999
PROD000153,Anarkali Suit,Biba,Clothing,Ethnic Wear,3499
PROD000154,Dhoti Kurta Set,Fabindia,Clothing,Ethnic Wear,2999
PROD000155,Lehenga Choli,W for Woman,Clothing,Ethnic Wear,5999
PROD000156,Nehru Jacket Brocade,Manyavar,Clothing,Ethnic Wear,3499
PROD000157,Kashmiri Phiran,Fabindia,Clothing,Ethnic Wear,3999
PROD000158,Salwar Kameez Set,Global Desi,Clothing,Ethnic Wear,2499
PROD000159,Pathani Suit,Soch,Clothing,Ethnic Wear,1999
PROD000160,Chanderi Dupatta,Fabindia,Clothing,Ethnic Wear,1299
PROD000161,Down Puffer Jacket,Columbia,Clothing,Winter Wear,12999
PROD000162,Fleece Hoodie,The North Face,Clothing,Winter Wear,5999
PROD000163,Woollen Cardigan,Monte Carlo,Clothing,Winter Wear,1999
PROD000164,Thermal Inner Wear Set,Lux Inferno,Clothing,Winter Wear,799
PROD000165,Windbreaker Jacket,Wildcraft,Clothing,Winter Wear,3499
PROD000166,Turtleneck Sweater,H&M,Clothing,Winter Wear,1799
PROD000167,Sherpa Lined Jacket,Allen Solly,Clothing,Winter Wear,4999
PROD000168,Knitted Sweater,United Colors of Benetton,Clothing,Winter Wear,2499
PROD000169,Ski Pants Waterproof,Quechua,Clothing,Winter Wear,2999
PROD000170,Reversible Jacket,Jack & Jones,Clothing,Winter Wear,3999
PROD000171,Cotton Trunks Pack of 3,Jockey,Clothing,Innerwear,699
PROD000172,T-Shirt Bra,Triumph,Clothing,Innerwear,999
PROD000173,Boxer Brief Pack of 2,Calvin Klein,Clothing,Innerwear,1999
PROD000174,Sports Bra Medium Support,Nike,Clothing,Innerwear,2495
PROD000175,Thermal Vest,Lux Inferno,Clothing,Innerwear,449
PROD000176,Seamless Panty Pack of 3,Enamor,Clothing,Innerwear,799
PROD000177,V-Neck Vest Pack of 3,Rupa Frontline,Clothing,Innerwear,299
PROD000178,Padded Bra,Amante,Clothing,Innerwear,799
PROD000179,Cycling Shorts,Adidas,Clothing,Innerwear,1799
PROD000180,Camisole Pack of 2,Marks & Spencer,Clothing,Innerwear,999
PROD000181,Solid Wood Dining Table 6-Seater,Pepperfry,Home,Furniture,34999
PROD000182,3-Seater Fabric Sofa,IKEA,Home,Furniture,49999
PROD000183,Queen Size Bed with Storage,HomeTown,Home,Furniture,28999
PROD000184,Ergonomic Office Chair,Green Soul,Home,Furniture,18999
PROD000185,Bookshelf 5-Tier,Nilkamal,Home,Furniture,5999
PROD000186,Wardrobe Sliding 3-Door,Godrej Interio,Home,Furniture,45000
PROD000187,Coffee Table Glass Top,Urban Ladder,Home,Furniture,12999
PROD000188,Rocking Chair Wooden,Hometown,Home,Furniture,9999
PROD000189,TV Unit with Storage,IKEA,Home,Furniture,14999
PROD000190,Study Table with Drawer,Durian,Home,Furniture,9499
PROD000191,Macrame Wall Hanging,Nestasia,Home,Decor,1299
PROD000192,Ceramic Vase Set of 3,Westside Home,Home,Decor,1499
PROD000193,Canvas Wall Art Abstract,Art Street,Home,Decor,1799
PROD000194,Buddha Figurine Brass,Craftvatika,Home,Decor,999
PROD000195,Dream Catcher Boho,Namo Handicrafts,Home,Decor,599
PROD000196,Table Clock Vintage,Seiko,Home,Decor,2499
PROD000197,Scented Candle Set,Bombay Candle Company,Home,Decor,999
PROD000198,Throw Cushions Set of 5,House This,Home,Decor,2499
PROD000199,Bamboo Photo Frame Set,Inddus,Home,Decor,799
PROD000200,Geometric Terrarium,Nestasia,Home,Decor,1499
PROD000201,Front Load Washing Machine 7kg,LG,Home,Appliances,47990
PROD000202,Double Door Refrigerator 340L,Samsung,Home,Appliances,38990
PROD000203,Microwave Oven Convection 28L,IFB,Home,Appliances,12990
PROD000204,1.5 Ton 5-Star Split AC,Daikin,Home,Appliances,47990
PROD000205,Induction Cooktop 2000W,Philips,Home,Appliances,3499
PROD000206,Vacuum Cleaner Wet & Dry,Eureka Forbes,Home,Appliances,5999
PROD000207,Geyser Instant 3L,Bajaj,Home,Appliances,3499
PROD000208,Air Purifier with HEPA,Dyson,Home,Appliances,29990
PROD000209,Dishwasher 12-Place Setting,Bosch,Home,Appliances,42990
PROD000210,Water Purifier RO+UV,Kent,Home,Appliances,14999
PROD000211,Non-Stick Cookware Set 5-Piece,Prestige,Home,Kitchen,3499
PROD000212,Instant Pot Duo 6L,Instant Pot,Home,Kitchen,8999
PROD000213,Air Fryer 4.2L,Philips,Home,Kitchen,7499
PROD000214,Mixer Grinder 750W,Butterfly,Home,Kitchen,3499
PROD000215,Electric Kettle 1.7L,Pigeon,Home,Kitchen,999
PROD000216,Steel Tiffin Box Set,Milton,Home,Kitchen,699
PROD000217,Roti Maker Automatic,Prestige,Home,Kitchen,2499
PROD000218,OTG Oven 30L,Morphy Richards,Home,Kitchen,5999
PROD000219,Blender Juicer Mixer,Sujata,Home,Kitchen,4499
PROD000220,Pressure Cooker 5L Induction,Hawkins,Home,Kitchen,2199
PROD000221,Garden Hose Expandable 30M,Amkoy,Home,Garden,1499
PROD000222,Plant Pots Set of 5 Ceramic,Ugaoo,Home,Garden,1299
PROD000223,Gardening Tool Kit 8-Piece,Kraft Seeds,Home,Garden,999
PROD000224,Soil Testing Kit,Dr. Bacto,Home,Garden,799
PROD000225,Sprinkler Rotary 360°,Nelson,Home,Garden,899
PROD000226,Organic Compost Manure 5kg,Ugaoo,Home,Garden,499
PROD000227,Garden Gloves Thornproof,Bellingham,Home,Garden,699
PROD000228,Raised Bed Planter Box,Ugaoo,Home,Garden,2499
PROD000229,Bonsai Starter Kit,Plantogallery,Home,Garden,1499
PROD000230,Drip Irrigation Kit,Jain Irrigation,Home,Garden,1999
PROD000231,LED Bulb 9W Pack of 6,Syska,Home,Lighting,599
PROD000232,Chandelier 5-Light Ceiling,Crompton,Home,Lighting,3999
PROD000233,Smart Bulb RGB Wi-Fi,Philips Hue,Home,Lighting,2499
PROD000234,Table Lamp Wooden Base,Jainsons Emporio,Home,Lighting,1999
PROD000235,LED Strip Light 5M,Syska,Home,Lighting,899
PROD000236,Night Lamp Plug-In,Wipro,Home,Lighting,399
PROD000237,Flood Light 50W Outdoor,Havells,Home,Lighting,1499
PROD000238,Pendant Light Industrial,Jainsons Emporio,Home,Lighting,2999
PROD000239,Emergency Light Rechargeable,Eveready,Home,Lighting,699
PROD000240,Solar Garden Light Pack of 4,Urja Global,Home,Lighting,1299
PROD000241,King Size Comforter 200 GSM,D'Decor,Home,Beddings,4999
PROD000242,Cotton Bedsheet Double,Bombay Dyeing,Home,Beddings,1299
PROD000243,Memory Foam Pillow,Wakefit,Home,Beddings,1299
PROD000244,Waterproof Mattress Protector,Sleepyhead,Home,Beddings,999
PROD000245,Orthopaedic Mattress 6-Inch Queen,Springtek,Home,Beddings,14999
PROD000246,Weighted Blanket 9kg,Gravity,Home,Beddings,6999
PROD000247,Silk Pillowcase Set of 2,Bedsure,Home,Beddings,1299
PROD000248,Quilted Mattress Topper,Spaces,Home,Beddings,2999
PROD000249,Fitted Bedsheet Set 300TC,Raymond Home,Home,Beddings,2499
PROD000250,Bolster Pillow Set,Story@Home,Home,Beddings,799
PROD000251,Stackable Storage Boxes Set of 6,IKEA,Home,Home Storage,1499
PROD000252,Shoe Rack 4-Tier,Nilkamal,Home,Home Storage,2499
PROD000253,Under-Bed Storage Bags Pack of 3,Solimo,Home,Home Storage,699
PROD000254,Wardrobe Organizer Set,IKEA,Home,Home Storage,1299
PROD000255,Kitchen Cabinet Organizer,Nestasia,Home,Home Storage,999
PROD000256,Vacuum Storage Bags Pack of 6,Spacesave,Home,Home Storage,799
PROD000257,Steel Almirah 2-Door,Godrej,Home,Home Storage,9999
PROD000258,Hanging Organizer 30 Pockets,AmazonBasics,Home,Home Storage,599
PROD000259,Bathroom Cabinet with Mirror,Cello,Home,Home Storage,2999
PROD000260,Foldable Storage Ottoman,Stools & More,Home,Home Storage,1999
PROD000261,Moisturizing Cream SPF 50,Neutrogena,Beauty,Skincare,699
PROD000262,Vitamin C Serum 20%,The Ordinary,Beauty,Skincare,1490
PROD000263,Niacinamide 10% + Zinc 1%,The Ordinary,Beauty,Skincare,790
PROD000264,Hyaluronic Acid Cream,Minimalist,Beauty,Skincare,499
PROD000265,Sunscreen SPF 60 PA++++,Re'equil,Beauty,Skincare,545
PROD000266,Retinol Night Serum,Olay,Beauty,Skincare,1299
PROD000267,Kojic Acid Face Wash,Mamaearth,Beauty,Skincare,349
PROD000268,Clay Face Mask Kaolin,Innisfree,Beauty,Skincare,799
PROD000269,Cetaphil Moisturizing Lotion,Cetaphil,Beauty,Skincare,499
PROD000270,Acne Spot Treatment Gel,La Roche-Posay,Beauty,Skincare,1199
PROD000271,Foundation Stay Matte 24HR,Maybelline,Beauty,Makeup,699
PROD000272,Matte Lipstick Smudgeproof,M.A.C,Beauty,Makeup,1800
PROD000273,Kajal Intense Black,Lakme,Beauty,Makeup,199
PROD000274,Eyeshadow Palette 18 Colors,Huda Beauty,Beauty,Makeup,3999
PROD000275,Mascara Volume & Curl,L'Oreal,Beauty,Makeup,799
PROD000276,Contour Stick Duo,NYX,Beauty,Makeup,799
PROD000277,Setting Powder Translucent,Charlotte Tilbury,Beauty,Makeup,4500
PROD000278,Liquid Eyeliner Sketch Pen,Colorbar,Beauty,Makeup,399
PROD000279,BB Cream SPF 35,Garnier,Beauty,Makeup,279
PROD000280,Highlighter Champagne Pop,Becca,Beauty,Makeup,3499
PROD000281,Argan Oil Shampoo 400ml,OGX,Beauty,Haircare,699
PROD000282,Onion Hair Oil 200ml,WOW,Beauty,Haircare,449
PROD000283,Keratin Deep Conditioner,Tresemmé,Beauty,Haircare,349
PROD000284,Hair Serum Anti-Frizz,L'Oreal,Beauty,Haircare,399
PROD000285,Dry Shampoo Batiste,Batiste,Beauty,Haircare,499
PROD000286,Hair Mask Honey 200ml,Garnier,Beauty,Haircare,299
PROD000287,Biotin Hair Supplement,Wow Life Science,Beauty,Haircare,699
PROD000288,Coconut Hair Oil 500ml,Parachute,Beauty,Haircare,249
PROD000289,Leave-In Cream Curly Hair,Cantu,Beauty,Haircare,799
PROD000290,Anti-Dandruff Shampoo,Head & Shoulders,Beauty,Haircare,349
PROD000291,Sauvage EDT 100ml,Dior,Beauty,Fragrance,8500
PROD000292,Black Orchid EDP 100ml,Tom Ford,Beauty,Fragrance,22000
PROD000293,Chanel No.5 EDP 100ml,Chanel,Beauty,Fragrance,18000
PROD000294,Light Blue EDT 100ml,Dolce & Gabbana,Beauty,Fragrance,6999
PROD000295,Acqua di Gio EDT 100ml,Giorgio Armani,Beauty,Fragrance,8500
PROD000296,Oud Wood EDP 100ml,Tom Ford,Beauty,Fragrance,24000
PROD000297,1 Million EDT 100ml,Paco Rabanne,Beauty,Fragrance,7500
PROD000298,Flowerbomb EDP 50ml,Viktor & Rolf,Beauty,Fragrance,8500
PROD000299,English Pear & Freesia 100ml,Jo Malone,Beauty,Fragrance,14500
PROD000300,Bvlgari Man in Black EDP 100ml,Bvlgari,Beauty,Fragrance,9500
PROD000301,Electric Shaver Series 9000,Philips,Beauty,Personal Care,12999
PROD000302,Trimmer BT5515 Cordless,Braun,Beauty,Personal Care,3499
PROD000303,Deo Spray 72Hr,Dove,Beauty,Personal Care,249
PROD000304,Face Wash Neem,Himalaya,Beauty,Personal Care,99
PROD000305,Body Lotion Cocoa Butter,Vaseline,Beauty,Personal Care,299
PROD000306,Intimate Wash pH Balanced,Sirona,Beauty,Personal Care,299
PROD000307,Roll-On Deodorant,Nivea,Beauty,Personal Care,179
PROD000308,Foot Cream Cracked Heels,O'Keeffe's,Beauty,Personal Care,649
PROD000309,Talcum Powder 300g,Ponds,Beauty,Personal Care,179
PROD000310,Lip Balm SPF 30,Burt's Bees,Beauty,Personal Care,299
PROD000311,Body Wash Lavender 400ml,Fiama,Beauty,Bath & Body,299
PROD000312,Loofah Bath Sponge,Vega,Beauty,Bath & Body,149
PROD000313,Bubble Bath Foam,The Body Shop,Beauty,Bath & Body,1099
PROD000314,Salt Scrub Coffee Body,MCaffeine,Beauty,Bath & Body,599
PROD000315,Bath Salts Epsom 500g,Pristine Pure,Beauty,Bath & Body,299
PROD000316,Hand Wash Liquid 250ml,Savlon,Beauty,Bath & Body,99
PROD000317,Shower Gel Rose 200ml,Dove,Beauty,Bath & Body,199
PROD000318,Bathrobe Terry Cotton,Trident,Beauty,Bath & Body,1499
PROD000319,Bath Towel 600 GSM,Bombay Dyeing,Beauty,Bath & Body,899
PROD000320,Soap Bar Charcoal,WOW,Beauty,Bath & Body,249
PROD000321,Hair Dryer Ionic 2000W,Dyson Supersonic,Beauty,Grooming Tools,32900
PROD000322,Flat Iron Ceramic Plates,Vega,Beauty,Grooming Tools,1799
PROD000323,Curling Wand 32mm,Remington,Beauty,Grooming Tools,2499
PROD000324,Electric Epilator,Braun,Beauty,Grooming Tools,3499
PROD000325,Nose & Ear Trimmer,Philips,Beauty,Grooming Tools,999
PROD000326,Beard Grooming Kit 7-in-1,Mi,Beauty,Grooming Tools,1299
PROD000327,Facial Steamer Nano,NovaBella,Beauty,Grooming Tools,799
PROD000328,Straightening Comb Heated,Ikonic,Beauty,Grooming Tools,2199
PROD000329,Hot Air Brush Rotating,Remington,Beauty,Grooming Tools,3499
PROD000330,Eyebrow Trimmer Precision,Vega,Beauty,Grooming Tools,699
PROD000331,The Midnight Library,Matt Haig / Canongate,Books,Fiction,399
PROD000332,Atomic Habits,James Clear / Random House,Books,Fiction,499
PROD000333,It Ends with Us,Colleen Hoover / Simon & Schuster,Books,Fiction,349
PROD000334,The Alchemist,Paulo Coelho / HarperCollins,Books,Fiction,299
PROD000335,Harry Potter Box Set 7 Books,J.K. Rowling / Bloomsbury,Books,Fiction,4999
PROD000336,The Kite Runner,Khaled Hosseini / Bloomsbury,Books,Fiction,349
PROD000337,1984,George Orwell / Penguin,Books,Fiction,249
PROD000338,The Great Gatsby,F. Scott Fitzgerald / Penguin,Books,Fiction,199
PROD000339,A Little Life,Hanya Yanagihara / Picador,Books,Fiction,599
PROD000340,The God of Small Things,Arundhati Roy / Penguin,Books,Fiction,299
PROD000341,Sapiens,Yuval Noah Harari / Vintage,Books,Non-Fiction,499
PROD000342,Thinking Fast and Slow,Daniel Kahneman / Penguin,Books,Non-Fiction,499
PROD000343,The Subtle Art of Not Giving a F*ck,Mark Manson / HarperCollins,Books,Non-Fiction,399
PROD000344,Zero to One,Peter Thiel / Virgin Books,Books,Non-Fiction,499
PROD000345,Educated,Tara Westover / Windmill Books,Books,Non-Fiction,399
PROD000346,Freakonomics,Levitt & Dubner / Penguin,Books,Non-Fiction,349
PROD000347,Becoming,Michelle Obama / Crown,Books,Non-Fiction,599
PROD000348,Bad Science,Ben Goldacre / HarperCollins,Books,Non-Fiction,349
PROD000349,The Body: A Guide for Occupants,Bill Bryson / Doubleday,Books,Non-Fiction,499
PROD000350,Factfulness,Hans Rosling / Hodder,Books,Non-Fiction,499
PROD000351,NCERT Physics Class 12,NCERT,Books,Educational,299
PROD000352,HC Verma Concepts of Physics Vol 1,H.C. Verma / Bharati Bhawan,Books,Educational,449
PROD000353,RD Sharma Mathematics Class 10,R.D. Sharma / Dhanpat Rai,Books,Educational,399
PROD000354,Wren & Martin English Grammar,Wren & Martin / S.Chand,Books,Educational,349
PROD000355,NCERT Chemistry Class 11,NCERT,Books,Educational,249
PROD000356,OP Tandon Organic Chemistry,O.P. Tandon / GRB,Books,Educational,699
PROD000357,Objective Physics for NEET,Arihant Publications,Books,Educational,549
PROD000358,Class 6-10 Science Bundle,S.Chand,Books,Educational,1499
PROD000359,Std 12 Economics Guide,T.R. Jain / VK Publications,Books,Educational,299
PROD000360,Lucent General Knowledge 2024,Lucent Publications,Books,Educational,299
PROD000361,Watchmen,DC Comics / Alan Moore,Books,Comics,1299
PROD000362,Maus Complete Edition,Art Spiegelman / Penguin,Books,Comics,1799
PROD000363,Persepolis,Marjane Satrapi / Vintage,Books,Comics,699
PROD000364,The Sandman Vol 1,Neil Gaiman / DC Vertigo,Books,Comics,1199
PROD000365,Batman: The Long Halloween,Jeph Loeb / DC Comics,Books,Comics,1199
PROD000366,X-Men: Days of Future Past,Chris Claremont / Marvel,Books,Comics,999
PROD000367,Asterix at the Olympics,Goscinny & Uderzo / Orion,Books,Comics,499
PROD000368,Tintin in Tibet,Hergé / Egmont,Books,Comics,399
PROD000369,V for Vendetta,Alan Moore / Vertigo,Books,Comics,999
PROD000370,Naruto Vol 1,Masashi Kishimoto / VIZ Media,Books,Comics,499
PROD000371,Ikigai,Héctor García / Hutchinson,Books,Self-Help,299
PROD000372,The 7 Habits of Highly Effective People,Stephen Covey / Simon & Schuster,Books,Self-Help,499
PROD000373,Think and Grow Rich,Napoleon Hill / Fingerprint,Books,Self-Help,199
PROD000374,Rich Dad Poor Dad,Robert Kiyosaki / Plata,Books,Self-Help,299
